journal name from open access directory;matched name in WOS;convert date;Domain
Abstract and Applied Analysis;Abstract and Applied Analysis;February, 2006;Natural Sciences
Acta Agrobotanica;;1990;
Acta Dermato-Venereologica;Acta Dermato-Venereologica;January, 2011;
Acta Mathematica;Acta Mathematica;January, 2017;Natural Sciences
Acta Orthopaedica;Acta Orthopaedica;2005;Health Sciences
Acta Veterinaria Scandinavica;Acta Veterinaria Scandinavica;May, 2006;Applied Sciences
Advances in Difference Equations;Advances in Difference Equations;February, 2006;Natural Sciences
Africa Spectrum;Africa Spectrum;Summer 2009;
African Diaspora;African Diaspora;January 2012;
African Journal of Paediatric Surgery;;July, 2008;
Aging Cell;Aging Cell;2013;Health Sciences
Allergy, Asthma and Clinical Immunology;ALLERGY ASTHMA AND CLINICAL IMMUNOLOGY;November, 2009;
Al-Qantara;Al-Qantara;2006;
American Veterinary Medical Association;;May, 2008;
Anales Cervantinos;Anales Cervantinos;2006;
Anales del Jardin Botanico de Madrid;Anales del Jardin Botanico de Madrid;2006;
Annals of Improbable Research;;December, 2007;
Annual Review of Public Health;Annual Review of Public Health;April, 2017;Health Sciences
Anthropology of East Europe Review;;December, 2009;
Anuario de Estudios Americanos;Anuario de Estudios Americanos;2006;
Anuario de Estudios Medievales;Anuario de Estudios Medievales;2006;
Anuario Musical;Anuario Musical;2006;
APLA Bulletin;;June, 2007;
Arbor;ARBOR-CIENCIA PENSAMIENTO Y CULTURA;2006;
Archivo Espanol de Arqueologia;Archivo Espanol de Arqueologia;2006;
Archivo Espanol de Arte;Archivo Espanol de Arte;2006;
Artifact;;December 2011;
Asclepio;;2006;
Atiqot;;October, 2010;
Australasian Journal of Educational Technology;Australasian Journal of Educational Technology;August, 2008;Economic & Social Sciences
Bible and Critical Theory;;April, 2011;
BIJDRAGEN TOT DE TAAL- LAND- EN VOLKENKUNDE;BIJDRAGEN TOT DE TAAL- LAND- EN VOLKENKUNDE;October, 2011;
Bioscience Reports;Bioscience Reports;April, 2012;Health Sciences
BMJ;;October, 2008;
Boundary Value Problems;Boundary Value Problems;February 2006;Natural Sciences
British Journal of Healthcare Computing & Information Management;British Journal of Healthcare Computing & Information Management;July, 2007;
Brookings Papers on Economic Activity;Brookings Papers on Economic Activity;March 2011;Economic & Social Sciences
Bulletin of the American Society of Papyrologists;Bulletin of the American Society of Papyrologists;May, 2007;
Bulletin of the Geological Society of Denmark;Bulletin of the Geological Society of Denmark;October, 2009;Natural Sciences
Canadian Journal of Sociology;;January, 2008;
Cancer Science;Cancer Science;2005;Health Sciences
Cataloging Service Bulletin;;June, 2009;
Catholic Education: A Journal of Inquiry and Practice;;September, 2010;
Chemical Science;Chemical Science;2011;
Chinese Science Bulletin;Chinese Science Bulletin;2011;Natural Sciences
Chiropractic and Manual Therapies;;January 14, 2011;
Clinical Epigenetics;Clinical Epigenetics;Aug 11;
Clinical Proteomics;Clinical Proteomics;June 2011;Health Sciences
Collectanea Botanica;;2006;
College and Research Libraries;COLLEGE & RESEARCH LIBRARIES;Apr 11;Economic & Social Sciences
Comparative and Functional Genomics;Comparative and Functional Genomics;April, 2006;Health Sciences
Computational Intelligence in Neuroscience;Computational Intelligence and Neuroscience;April, 2006;Health Sciences
